disease,symptom
Hypertension,Nausea
Hypertension,General feeling of unwellness
Hypertension,Dizziness
Hypertension,Palpitations
Hypertension,Anxiety
Hypertension,High blood pressure
Hypertension,Double vision
Hypertension,Headaches
Hypertension,Red skin
Hypertension,Complications of hypertension
Hypertension,Symptoms of heart disease
Hypertension,Chest pain
Hypertension,Papilloedema
Hypertension,Symptoms of heart failure
Hypertension,Confusion
Hypertension,Convulsions
Hypertension,Tinnitus
Hypertension,Pale skin
Hypertension,Blurred vision
Hypertension,Nose bleeding
Hypertension,Changes in vision
Hypertension,Increased sweating
Hypertension,Shortness of breath
Hypertension,Flushed face
Hypertension,Increased urination
Migraine,Nausea
Migraine,Eye paralysis
Migraine,Hand tingling
Migraine,Sensitivity to light
Migraine,Eye pain
Migraine,Vision disturbances
Migraine,Headache attack is continuous for over 72 hours
Migraine,Patients usually have a preexisting migraine history
Migraine,Double vision
Migraine,Speaking difficulty
Migraine,Tingling in arms
Migraine,Headaches
Migraine,Ptosis
Migraine,Flashing lights
Migraine,One-sided headache
Migraine,Other types of visual changes
Migraine,Aura
Migraine,Confusion
Migraine,Giddiness
Migraine,Weakness in the legs
Migraine,Severe vomiting
Migraine,Wide set eyes
Migraine,Blurred vision
Migraine,Temporary loss of vision
Migraine,Throbbing headache
Migraine,Tingling face
Migraine,Sound sensitivity
Migraine,Seeing flashing lights
Migraine,Seeing zigzag lines
Migraine,Other visual hallucinations
Migraine,Temporary blind spots
Migraine,Weakness in arms
Insomnia,Frequent awakenings or restlessness
Insomnia,Anxiety
Insomnia,Racing mind
Insomnia,Sleep problems
Insomnia,Tiredness
Insomnia,Tiredness even after a sleep
Insomnia,Irritability
Insomnia,Frequent waking during the night
Insomnia,Sleeplessness
Insomnia,Difficulty falling asleep
Insomnia,Mood changes
Insomnia,Sleep disturbances
Depression,Social withdrawal
Depression,Sleeping difficulties
Depression,Frequent awakenings or restlessness
Depression,Loss of appetite
Depression,Agitation
Depression,Backaches
Depression,Hallucinations
Depression,Mental changes
Depression,Restlessness
Depression,Anxiety
Depression,Irritability and physical exhaustion.
Depression,Headaches
Depression,Forgetfulness
Depression,Tiredness
Depression,Social problems
Depression,Loss of interest in sex
Depression,Loss of enjoyment of recreation
Depression,Permanent sense of anxiety
Depression,Sluggishness
Depression,Fear of the future
Depression,Irritability
Depression,Constipations
Depression,Isolation
Depression,Sensation of utter despair
Depression,Thoughts of suicide or death
Depression,Hopelessness
Depression,Muscle aches
Depression,Altered sleeping patterns
Depression,Extreme lethargy
Depression,Joint pain
Depression,Body aches
Depression,Loss of interest in activities
Depression,Difficulty falling asleep
Depression,Loss of sex drive
Depression,Altered eating habits
Depression,Difficulty with relationships
Depression,Loss of confidence
Depression,Inappropriate guilt
Depression,Depressed mood
Depression,Low mood
Depression,Stomach aches
Depression,Inability to experience pleasure
Depression,Excessive sleeping
Depression,Alcohol problems
Depression,Sex problems
Depression,Overeating
Depression,Inappropriate crying
Depression,Feeling of worthlessness
Depression,Thinking difficulties
Depression,Poor school grades
Depression,Running away from home
Depression,Weight gain
Depression,Losing your temper
Depression,Delusions
Depression,Lack of energy
Depression,Sleep disturbances
Asthma,Chest tightness
Asthma,Breathing difficulties
Asthma,Shallow breathing
Asthma,Speaking difficulty
Asthma,Cough worse at night
Asthma,Itchy throat
Asthma,Shortness of breath or wheezing
Asthma,Poor stamina
Asthma,Asthma attack
Asthma,Cyanosis
Asthma,Persistent cough
Asthma,Shortness of breath
Asthma,Rapid breathing
Asthma,Shortness of breath after exertion
Asthma,Coughing
Breast cancer,Breast lump
Breast cancer,Peau d'orange
Breast cancer,Nipple discharge
Breast cancer,Dimpling of skin
Breast cancer,Change in breast size
Breast cancer,Scaly breast
Breast cancer,Breast changes
Breast cancer,Underarm lump
Osteoarthritis,Knee joint pain
Osteoarthritis,Swollen joints
Osteoarthritis,Spine stiffness
Osteoarthritis,Toe warmth
Osteoarthritis,Rashes
Osteoarthritis,Hip warmth
Osteoarthritis,No pain
Osteoarthritis,Symptom area depends on the affected joint
Osteoarthritis,Toe joint pain
Osteoarthritis,Ankle joint pain
Osteoarthritis,Hip stiffness
Osteoarthritis,Spine warmth
Osteoarthritis,Ankle warmth
Osteoarthritis,Crunching sound
Osteoarthritis,Joint stiffness improves with movement
Osteoarthritis,Joint pain worse with exercise
Osteoarthritis,Difficulty moving
Osteoarthritis,Crunching feeling
Osteoarthritis,Joint pain
Osteoarthritis,Joint stiffness
Osteoarthritis,Trouble breathing
Osteoarthritis,Hip pain
Osteoarthritis,Pain in finger joints
Osteoarthritis,Knee stiffness
Osteoarthritis,Injury
Osteoarthritis,Fever
Osteoarthritis,Ankle stiffness
Osteoarthritis,Itches
Osteoarthritis,Stiffness
Osteoarthritis,Knee instability
Osteoarthritis,Joint tenderness
Osteoarthritis,Toe stiffness
Common cold,Sore throat
Common cold,Loss of appetite
Common cold,Cough
Common cold,Headaches
Common cold,Impaired sense of taste
Common cold,Runny nose
Common cold,Sinus swelling
Common cold,Tearing
Common cold,Chills
Common cold,Nasal congestion
Common cold,Sneezing
Common cold,High fever
Common cold,Mild fever
Common cold,Fever
Common cold,Impaired sense of smell
Common cold,Blocked nose
Common cold,Tearing eyes
Bladder cancer,Frequent urge to urinate
Bladder cancer,Reduced urine
Bladder cancer,Frequent urination (polyuria)
Bladder cancer,Bladder pain
Bladder cancer,Feeling the need to urinate without results
Bladder cancer,Abdominal pain
Bladder cancer,Urination pain
Bladder cancer,Dark urine
Bladder cancer,Bladder infections
Bladder cancer,Blood in urine
Bladder cancer,Increased urination
Sinusitis,Sore throat
Sinusitis,Sinus pain
Sinusitis,Aching upper jaw
Sinusitis,Loss of smell
Sinusitis,Watering eyes
Sinusitis,Aching teeth
Sinusitis,Tender cheeks
Sinusitis,Cough
Sinusitis,A cough that may be more severe at night
Sinusitis,Aches
Sinusitis,Heaviness in the head while bending the head.
Sinusitis,Headaches
Sinusitis,Morning headaches
Sinusitis,Tenderness of sides of nose
Sinusitis,Tiredness
Sinusitis,Runny nose or nasal congestion
Sinusitis,Runny nose
Sinusitis,Tender forehead
Sinusitis,Sinus headache
Sinusitis,Postnasal drip
Sinusitis,Pain between eyes
Sinusitis,Nasal congestion
Sinusitis,Sneezing
Sinusitis,Neck pain
Sinusitis,Eye swelling
Sinusitis,Fever
Sinusitis,Ear anomalies
Sinusitis,Tenderness over sinus region
Sinusitis,Ear pain
Sinusitis,Swollen eyelids
Sinusitis,Coughing
Sinusitis,Sleep disturbances
Osteoporosis,Backaches
Osteoporosis,Absence of menstruation
Osteoporosis,Fractures
Osteoporosis,Spine deformation
